[FTL] 2016-07-30 06:59:23 | Error: FATAL:  database "lisk_main" does not exist
[inf] 2016-07-30 07:43:27 | Forged new block id: 14336094390985810624 height: 4 round: 1 slot: 575540 reward: 0
[WRN] 2016-07-30 07:43:27 | Removing peer POST http://65.19.167.132:8000/peer/blocks
[inf] 2016-07-30 07:43:30 | Forged new block id: 6540353581142316952 height: 5 round: 1 slot: 575541 reward: 0
[WRN] 2016-07-30 07:43:31 | Removing peer POST http://120.26.88.41:8000/peer/blocks
[inf] 2016-07-30 07:43:42 | Forged new block id: 17241443539054152465 height: 6 round: 1 slot: 575542 reward: 0
[inf] 2016-07-30 07:43:50 | Forged new block id: 8859335958172791750 height: 7 round: 1 slot: 575543 reward: 0
[inf] 2016-07-30 07:44:00 | Forged new block id: 11649978534595669791 height: 8 round: 1 slot: 575544 reward: 0
[inf] 2016-07-30 07:44:11 | Forged new block id: 6929484736630892745 height: 9 round: 1 slot: 575545 reward: 0
[inf] 2016-07-30 07:44:25 | Forged new block id: 12183400908095939973 height: 10 round: 1 slot: 575546 reward: 0
[WRN] 2016-07-30 07:44:29 | Removing peer GET http://114.215.165.103:8000/peer/list
[inf] 2016-07-30 07:44:30 | Forged new block id: 14520351520887955478 height: 11 round: 1 slot: 575547 reward: 0
[inf] 2016-07-30 07:44:41 | Forged new block id: 3909058920397243346 height: 12 round: 1 slot: 575548 reward: 0
[inf] 2016-07-30 07:44:57 | Forged new block id: 4360337852803648957 height: 13 round: 1 slot: 575549 reward: 0
[inf] 2016-07-30 07:45:00 | Forged new block id: 4342825475992270817 height: 14 round: 1 slot: 575550 reward: 0
[inf] 2016-07-30 07:45:10 | Forged new block id: 15208979134100494666 height: 15 round: 1 slot: 575551 reward: 0
[inf] 2016-07-30 07:45:31 | Forged new block id: 7150202549627576626 height: 16 round: 1 slot: 575553 reward: 0
[WRN] 2016-07-30 07:45:35 | Removing peer POST http://52.165.40.188:7000/peer/blocks
[WRN] 2016-07-30 07:45:35 | Removing peer POST http://98.5.123.15:8000/peer/blocks
[WRN] 2016-07-30 07:45:35 | Removing peer POST http://83.136.249.66:8000/peer/blocks
[WRN] 2016-07-30 07:45:35 | Removing peer POST http://45.32.225.186:8000/peer/blocks
[inf] 2016-07-30 07:45:48 | Forged new block id: 2409445012311735986 height: 17 round: 1 slot: 575554 reward: 0
[inf] 2016-07-30 07:45:50 | Forged new block id: 10151032994438524974 height: 18 round: 1 slot: 575555 reward: 0
[WRN] 2016-07-30 07:45:52 | Removing peer POST http://5.135.22.92:8000/peer/blocks
[WRN] 2016-07-30 07:45:52 | Removing peer POST http://13.82.31.30:7000/peer/blocks
[WRN] 2016-07-30 07:45:52 | Removing peer POST http://47.90.9.21:8000/peer/blocks
[WRN] 2016-07-30 07:45:52 | Removing peer POST http://139.196.210.16:8000/peer/blocks
[WRN] 2016-07-30 07:45:54 | Removing peer POST http://121.40.55.42:8000/peer/blocks
[inf] 2016-07-30 07:46:03 | Forged new block id: 1542614670984667572 height: 19 round: 1 slot: 575556 reward: 0
[WRN] 2016-07-30 07:46:07 | Removing peer POST http://120.76.28.180:8000/peer/blocks
[inf] 2016-07-30 07:46:10 | Forged new block id: 10686767858790779843 height: 20 round: 1 slot: 575557 reward: 0
[inf] 2016-07-30 07:46:21 | Forged new block id: 17832385526626413175 height: 21 round: 1 slot: 575558 reward: 0
[WRN] 2016-07-30 07:46:25 | Removing peer POST http://101.200.220.254:8000/peer/blocks
[WRN] 2016-07-30 07:46:25 | Removing peer POST http://104.238.156.84:8000/peer/blocks
[WRN] 2016-07-30 07:46:37 | Removing peer GET http://45.63.25.254:8000/peer/height
[inf] 2016-07-30 07:46:41 | Forged new block id: 1456874813448871302 height: 22 round: 1 slot: 575560 reward: 0
[inf] 2016-07-30 07:46:55 | Forged new block id: 7050286336848008391 height: 23 round: 1 slot: 575561 reward: 0
[inf] 2016-07-30 07:47:00 | Forged new block id: 9472798437360563006 height: 24 round: 1 slot: 575562 reward: 0
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://13.70.207.248:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.32.239.15:8000/peer/blocks
